Make,Model,Class,EngineSize,Cylinders,Transmission,FuelType,ConsumptionCity,ConsumptionHwy,ConsumptionComb,CO2_Emissions,CO2_Rating
Mercedes-Benz,AMG GLS 63 4MATIC+ SUV,SUV: Standard,4,8,A9,Z,16.6,13.2,15.1,354,3
Mercedes-Benz,AMG GT 53 4MATIC+ Coupe,Compact,3,6,A9,Z,12.3,9.8,11.2,262,4
Mercedes-Benz,C 300 4MATIC Cabriolet,Subcompact,2,4,A9,Z,11,7.8,9.5,223,5
Mercedes-Benz,C 300 4MATIC Coupe,Subcompact,2,4,A9,Z,10.7,7.6,9.3,218,5
Mercedes-Benz,C 300 4MATIC Sedan,Compact,2,4,A9,Z,9.8,7.1,8.6,201,6
Mercedes-Benz,CLA 250 4MATIC Coupe,Compact,2,4,AM7,Z,9.8,7,8.6,200,6
Mercedes-Benz,CLS 450 4MATIC Coupe,Compact,3,6,A9,Z,11,8.2,9.7,229,5
Mercedes-Benz,E 350 4MATIC Sedan,Mid-size,2,4,A9,Z,11.2,8,9.7,228,5
Mercedes-Benz,E 450 4MATIC Cabriolet,Subcompact,3,6,A9,Z,11.2,8.4,9.9,233,5
Mercedes-Benz,E 450 4MATIC Coupe,Subcompact,3,6,A9,Z,11,8,9.6,225,5
Mercedes-Benz,E 450 4MATIC Sedan,Mid-size,3,6,A9,Z,10.6,7.8,9.3,219,5
Mercedes-Benz,E 450 4MATIC All-Terrain Wagon,Station wagon: Mid-size,3,6,A9,Z,11.4,8.3,10,233,5
Mercedes-Benz,G 550 SUV,SUV: Standard,4,8,A9,Z,17.9,14.4,16.3,383,2
Mercedes-Benz,GLA 250 4MATIC SUV,SUV: Small,2,4,AM8,Z,10.3,7.3,9,210,5
Mercedes-Benz,GLB 250 4MATIC SUV,SUV: Small,2,4,AM8,Z,10.7,7.9,9.4,221,5
Mercedes-Benz,GLC 300 4MATIC Coupe,SUV: Small,2,4,A9,Z,12.2,9.2,10.9,253,5
Mercedes-Benz,GLE 350 4MATIC SUV,SUV: Standard,2,4,A9,Z,12.1,9.6,11,257,5
Mercedes-Benz,GLE 450 4MATIC SUV,SUV: Standard,3,6,A9,Z,11.5,9.3,10.5,245,5
Mercedes-Benz,GLE 450 4MATIC Coupe,SUV: Standard,3,6,A9,Z,11.7,9.2,10.5,247,5
Mercedes-Benz,GLS 450 4MATIC SUV,SUV: Standard,3,6,A9,Z,12.7,10.1,11.6,270,4
